"","X","model","state","observations","dwell_time","estimates","true","mean","median","sd","bias_mean","bias_mean_pp","bias_median","bias_median_pp","coverage_pp"
"92",8,"mhmm",3,500,"99.5","gamma_prob_bar_S3toS2_no_diag",0.5,0.5,0.5,0.03,0,0.02,0,0.03,99.22
"93",9,"mhmm",3,500,"99.5","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"94",10,"mhmm",3,500,"99.5","dwell_mu_bar_1",99.499,43.58,43.3,5.01,-55.92,56.2,-56.2,56.48,0
"95",11,"mhmm",3,500,"99.5","dwell_mu_bar_2",99.499,41.89,41.6,4.99,-57.61,57.9,-57.9,58.19,0
"96",12,"mhmm",3,500,"99.5","dwell_mu_bar_3",99.499,42.81,42.52,5.08,-56.69,56.98,-56.98,57.27,0
"97",1,"mhmm",3,1000,"1.4","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"98",2,"mhmm",3,1000,"1.4","gamma_prob_bar_S1toS2_no_diag",0.5,0.5,0.5,0.02,0,0.18,0,0.18,96.88
"99",3,"mhmm",3,1000,"1.4","gamma_prob_bar_S1toS3_no_diag",0.5,0.5,0.5,0.02,0,0.18,0,0.18,96.88
"100",4,"mhmm",3,1000,"1.4","gamma_prob_bar_S2toS1_no_diag",0.5,0.5,0.5,0.01,0,0.11,0,0.12,99.22
"101",5,"mhmm",3,1000,"1.4","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"102",6,"mhmm",3,1000,"1.4","gamma_prob_bar_S2toS3_no_diag",0.5,0.5,0.5,0.01,0,0.11,0,0.12,99.22
"103",7,"mhmm",3,1000,"1.4","gamma_prob_bar_S3toS1_no_diag",0.5,0.5,0.5,0.01,0,0.65,0,0.65,96.88
"104",8,"mhmm",3,1000,"1.4","gamma_prob_bar_S3toS2_no_diag",0.5,0.5,0.5,0.01,0,0.65,0,0.65,96.88
"105",9,"mhmm",3,1000,"1.4","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"106",10,"mhmm",3,1000,"1.4","dwell_mu_bar_1",1.443,0.85,0.85,0.06,-0.59,41.07,-0.6,41.3,0
"107",11,"mhmm",3,1000,"1.4","dwell_mu_bar_2",1.443,0.85,0.85,0.06,-0.59,41.07,-0.6,41.28,0
"108",12,"mhmm",3,1000,"1.4","dwell_mu_bar_3",1.443,0.85,0.85,0.06,-0.59,41.01,-0.59,41.21,0
"109",1,"mhmm",3,1000,"3.5","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"110",2,"mhmm",3,1000,"3.5","gamma_prob_bar_S1toS2_no_diag",0.5,0.51,0.51,0.02,0.01,2.56,0.01,2.56,94.53
"111",3,"mhmm",3,1000,"3.5","gamma_prob_bar_S1toS3_no_diag",0.5,0.49,0.49,0.02,-0.01,2.56,-0.01,2.56,94.53
"112",4,"mhmm",3,1000,"3.5","gamma_prob_bar_S2toS1_no_diag",0.5,0.5,0.5,0.02,0,0.09,0,0.09,100
"113",5,"mhmm",3,1000,"3.5","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"114",6,"mhmm",3,1000,"3.5","gamma_prob_bar_S2toS3_no_diag",0.5,0.5,0.5,0.02,0,0.09,0,0.09,100
"115",7,"mhmm",3,1000,"3.5","gamma_prob_bar_S3toS1_no_diag",0.5,0.49,0.49,0.02,-0.01,2.86,-0.01,2.86,85.16
"116",8,"mhmm",3,1000,"3.5","gamma_prob_bar_S3toS2_no_diag",0.5,0.51,0.51,0.02,0.01,2.86,0.01,2.86,85.16
"117",9,"mhmm",3,1000,"3.5","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"118",10,"mhmm",3,1000,"3.5","dwell_mu_bar_1",3.476,2.82,2.81,0.19,-0.66,18.85,-0.66,19.06,7.03
"119",11,"mhmm",3,1000,"3.5","dwell_mu_bar_2",3.476,2.77,2.77,0.19,-0.7,20.22,-0.71,20.43,4.69
"120",12,"mhmm",3,1000,"3.5","dwell_mu_bar_3",3.476,2.85,2.84,0.2,-0.62,17.97,-0.63,18.2,14.06
"121",1,"mhmm",3,1000,"19.5","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"122",2,"mhmm",3,1000,"19.5","gamma_prob_bar_S1toS2_no_diag",0.5,0.51,0.51,0.02,0.01,1.92,0.01,1.94,97.66
"123",3,"mhmm",3,1000,"19.5","gamma_prob_bar_S1toS3_no_diag",0.5,0.49,0.49,0.02,-0.01,1.92,-0.01,1.94,97.66
"124",4,"mhmm",3,1000,"19.5","gamma_prob_bar_S2toS1_no_diag",0.5,0.5,0.5,0.02,0,0.31,0,0.32,96.88
"125",5,"mhmm",3,1000,"19.5","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"126",6,"mhmm",3,1000,"19.5","gamma_prob_bar_S2toS3_no_diag",0.5,0.5,0.5,0.02,0,0.31,0,0.32,96.88
"127",7,"mhmm",3,1000,"19.5","gamma_prob_bar_S3toS1_no_diag",0.5,0.49,0.49,0.02,-0.01,1.73,-0.01,1.74,99.22
"128",8,"mhmm",3,1000,"19.5","gamma_prob_bar_S3toS2_no_diag",0.5,0.51,0.51,0.02,0.01,1.73,0.01,1.74,99.22
"129",9,"mhmm",3,1000,"19.5","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"130",10,"mhmm",3,1000,"19.5","dwell_mu_bar_1",19.496,17.44,17.39,1.28,-2.06,10.55,-2.11,10.8,70.31
