"","model","item","state","estimate","median","mean","sd","ci_025","ci_975"
"114","mhmm","tired","2","varmu",389.346202421887,433.18888229453,208.276966085735,163.748650482087,930.895715579037
"115","mhmm","tired","3","varmu",283.676287094746,309.199515212747,146.000513724861,129.354782704191,689.5925751508
"116","mhmm","tired","4","varmu",370.221543797382,406.499589015823,173.73996565451,171.246643444587,816.907096473947
"117","mhmm","content","1","varmu",172.140021245206,187.763804161078,78.7337886285631,81.9666640053708,379.359792554237
"118","mhmm","content","2","varmu",244.029755746917,260.200405423974,103.731324415967,119.845671834079,523.840634667858
"119","mhmm","content","3","varmu",257.083825743149,278.278354865207,113.211037891317,119.22403443162,548.384701131992
"120","mhmm","content","4","varmu",256.495369275938,278.13988224109,114.670754094583,128.191557522184,569.050732777306
"121","mhmm","agitated","1","varmu",71.5266111287534,77.0092962724135,29.8384321053356,36.4776347003562,152.061988951493
"122","mhmm","agitated","2","varmu",372.356371479194,417.561713580659,198.283315765739,167.272163746975,895.365652239575
"123","mhmm","agitated","3","varmu",436.920658477801,484.452756497204,216.171153441305,198.443703613989,1024.82470283519
"124","mhmm","agitated","4","varmu",505.269501479726,540.114416197139,207.325988616024,249.817370170913,1048.23060901815
"125","mhmm","irritated","1","varmu",53.7074094393488,57.9221679578288,21.7567448751595,27.9143231213884,112.106810576355
"126","mhmm","irritated","2","varmu",292.632635076523,320.020754181932,141.650423184971,123.194715219868,706.570824070869
"127","mhmm","irritated","3","varmu",448.859942383525,491.234826122827,220.082874116492,208.267602486185,993.458938416528
"128","mhmm","irritated","4","varmu",536.807793549932,583.874438591891,240.414945401734,272.100561088605,1232.5098232201
"129","mhmm","switch and focus","1","varmu",295.648519160926,313.792223503415,118.828026144942,147.581565729687,616.813969039747
"130","mhmm","switch and focus","2","varmu",314.765309296414,346.278934259266,150.071291866631,151.968864009271,732.663209400113
"131","mhmm","switch and focus","3","varmu",278.907264811012,306.986629890979,130.746101218723,139.711270872319,650.401539194931
"132","mhmm","switch and focus","4","varmu",333.595221773477,357.844439494587,132.650312451863,175.721871845204,684.057465499375
"133","mhmm","extremely well","1","varmu",374.602763780688,397.816933712328,148.095803813323,185.690819732426,752.701279808295
"134","mhmm","extremely well","2","varmu",386.194731403259,420.279109025563,179.384738596712,178.078013358037,861.616161057337
"135","mhmm","extremely well","3","varmu",226.428547177244,249.113073998326,107.936386723706,113.191241892806,522.671510625244
"136","mhmm","extremely well","4","varmu",182.212795646457,197.547860949003,77.2043048977252,97.7773610107391,400.106590118158
"137","mhmm","full of ideas","1","varmu",348.36025817035,376.295509914461,137.359693707817,191.013220027843,692.69440167975
"138","mhmm","full of ideas","2","varmu",420.559227836536,455.084057581685,193.848518160763,182.670499510905,922.761235967267
"139","mhmm","full of ideas","3","varmu",274.507525214556,304.075286550971,133.240823940155,136.145503514458,621.81618130101
"140","mhmm","full of ideas","4","varmu",161.825068849397,170.112315707855,60.1525273744814,85.0051948431386,321.734672499347
"141","mhmm","thoughts are racing","1","varmu",393.184370743726,420.405061728945,149.847770795318,211.617454687273,802.859245679626
"142","mhmm","thoughts are racing","2","varmu",388.097704137308,422.981367857382,174.325760678708,188.031880364541,859.413198195258
"143","mhmm","thoughts are racing","3","varmu",430.849351355281,470.278371799786,199.633170649826,203.052590139414,1005.89334111535
"144","mhmm","thoughts are racing","4","varmu",443.43288242455,471.810353845113,175.092925190817,237.252821711033,935.053501667762
"145","medhmm","down","1","mu",7.87047309920678,7.84012485711812,1.89479153005381,4.12306325350639,11.3850446404456
"146","medhmm","down","2","mu",21.9843337938999,21.9929494871446,4.4304111497326,13.6696902329691,30.8958453877021
"147","medhmm","down","3","mu",49.8537219692906,49.9108332306591,5.49124160855641,39.9148326436683,60.1680024360645
"148","medhmm","down","4","mu",36.6681345803781,36.6451523020552,5.86798233501006,25.1136470242938,48.5315684503971
"149","medhmm","dreadnest of day","1","mu",6.49473303686925,6.48937673358968,1.90368443264556,2.75741562973465,10.2544904365806
"150","medhmm","dreadnest of day","2","mu",17.1021015961351,17.2606520512662,4.72102640214626,8.13468354974486,27.4699104452625
"151","medhmm","dreadnest of day","3","mu",37.846938517199,37.8036467127203,6.10787218760931,26.0909200315826,49.9640755228792
"152","medhmm","dreadnest of day","4","mu",26.9406110542225,26.8035944278401,5.57018787254527,15.6343592755234,37.4962783043626
"153","medhmm","worry","1","mu",13.2001450254449,13.3689863811442,2.94557486923472,7.62773535512054,19.5532202354372
"154","medhmm","worry","2","mu",27.2163446496168,27.1548988557697,4.78956828433284,16.9014963104528,36.3174640436872
"155","medhmm","worry","3","mu",45.1684150009048,45.0571000150445,4.84614951053397,35.2686151859114,54.5858377879884
"156","medhmm","worry","4","mu",27.1089640789849,27.0347079606205,4.48586445401148,18.4683890618008,35.6671451421982
"157","medhmm","inadequate","1","mu",10.1388659248386,10.1712073463836,2.54953774363818,5.07339767846748,15.1612787360391
"158","medhmm","inadequate","2","mu",27.1234714730994,27.4794879129404,6.24318533159591,14.8190693583768,40.1510760872916
"159","medhmm","inadequate","3","mu",49.0534234442031,48.8613188922392,5.76774255933138,37.3847694339076,59.3308376914865
"160","medhmm","inadequate","4","mu",30.1477661657848,30.2232698952989,5.09979492302294,20.3033217410423,39.8596771750076
"161","medhmm","tired","1","mu",32.4101268115118,32.4985827818015,4.42783874545408,23.9435507013346,41.3506544466922
"162","medhmm","tired","2","mu",35.6404940898489,35.813474742151,5.68570954571104,24.7324510070582,46.5006061371037
"163","medhmm","tired","3","mu",57.6217385307997,57.5351791661201,5.3232845813004,46.5473929360582,67.6488089185846
"164","medhmm","tired","4","mu",52.1352499752037,52.2030671486248,4.74938047102112,42.8922095722704,61.4656718262781
"165","medhmm","content","1","mu",52.0189480062679,52.0556437311985,3.18579893926059,45.62968997698,57.9865571585991
"166","medhmm","content","2","mu",48.6235262511352,48.6720950798226,4.25643861759208,40.5986335960243,57.5837356520207
"167","medhmm","content","3","mu",26.8012252733916,26.9691471803255,4.62542038147541,18.432840308562,36.0366303185098
"168","medhmm","content","4","mu",31.3053934412376,31.1909154078108,4.24253065352507,22.8964148858278,39.3289938225518
"169","medhmm","agitated","1","mu",7.95405334050943,8.00092905461664,2.13417322120493,3.82965906045768,12.0429923387326
"170","medhmm","agitated","2","mu",32.5339330776794,32.6139920136454,5.40703595745133,21.7644796238081,43.8239479904442
"171","medhmm","agitated","3","mu",35.6834442182507,35.7554050604385,6.04168440178503,23.3802879114213,47.8193695138255
"172","medhmm","agitated","4","mu",12.6862929299818,12.6114663087636,3.19194667463365,6.07842820370575,18.6788349587991
"173","medhmm","irritated","1","mu",7.16580308011553,7.25472145864638,1.93350992298699,3.46763884139407,11.2082144205601
"174","medhmm","irritated","2","mu",24.7463804528175,24.9585228489244,5.13032443355015,15.3749868744716,35.508176122078
"175","medhmm","irritated","3","mu",36.2245280253688,36.3603839872065,6.10570682129106,24.6898772268021,48.7419786329578
"176","medhmm","irritated","4","mu",17.9426742692996,17.9261714966258,4.05804816292677,9.93295589600263,26.418659937009
"177","medhmm","switch and focus","1","mu",35.1876942856833,35.3290064020916,3.94107734419198,27.6699160394947,43.7386675805971
"178","medhmm","switch and focus","2","mu",43.7838744498224,43.8945431985683,4.86794700627459,34.8852410356841,53.7048834901906
"179","medhmm","switch and focus","3","mu",31.4149930176119,31.3866026370175,4.50718041759986,22.5412140983518,39.9157025496183
"180","medhmm","switch and focus","4","mu",24.3409270157469,24.1641408939154,4.32008777336625,15.9069006758648,32.5375092628704
"181","medhmm","extremely well","1","mu",26.9606773718518,26.9441147747317,4.39368595232585,18.2580266145807,35.6130457359916
"182","medhmm","extremely well","2","mu",36.2170976752568,36.1785162054052,5.02312165401462,26.1998107067169,46.5240200276319
"183","medhmm","extremely well","3","mu",17.7079407261084,17.9176679290934,4.13069973425495,10.2049976680558,26.7546950733426
"184","medhmm","extremely well","4","mu",14.1688896463402,14.1589456258348,3.46387641013193,7.0844200251423,20.9586190526953
"185","medhmm","full of ideas","1","mu",25.7574909348806,25.7273073995998,4.18639980195367,17.6595008547732,33.7054476304902
"186","medhmm","full of ideas","2","mu",36.6846838326558,36.6141422549852,5.37161211644939,26.0982950567813,47.052400200687
"187","medhmm","full of ideas","3","mu",19.7833264639661,19.9124725365672,4.28378735729142,12.1065253222309,28.4824579174537
"188","medhmm","full of ideas","4","mu",13.8234925133628,13.7907465848574,3.0588275467311,7.59142545877867,19.8815969377327
"189","medhmm","thoughts are racing","1","mu",26.5436245811985,26.4855814708447,4.31443882226451,17.9364332112919,34.6682853757876
"190","medhmm","thoughts are racing","2","mu",42.3863096010412,42.360512533345,5.25707206734363,31.5643219375742,52.8268546490118
"191","medhmm","thoughts are racing","3","mu",33.698023266487,33.6195200490432,5.41888918607911,22.8618468392497,44.3602214534132
"192","medhmm","thoughts are racing","4","mu",16.8400912680783,16.8201981206969,3.83438627571619,9.39107570660619,24.2795617132193
"193","medhmm","down","1","var",24.5399205521825,26.360330544758,7.16765969376436,17.7436646057386,44.5165784948655
"194","medhmm","down","2","var",366.409910700335,373.56889021336,62.4373961102416,268.864823300242,510.087668848081
"195","medhmm","down","3","var",366.111655007005,374.433669681223,72.4105819911389,263.170347237341,548.822670139748
"196","medhmm","down","4","var",218.766996674829,226.682334550451,42.4473645616004,165.831120471357,323.146072643662
"197","medhmm","dreadnest of day","1","var",27.9396861134264,29.4764738314162,8.07169838982414,18.4886058279092,52.4981968367562
"198","medhmm","dreadnest of day","2","var",468.910726535196,478.616852486634,72.0594915569027,363.330579004361,650.269326194917
"199","medhmm","dreadnest of day","3","var",522.253355743297,535.765279983446,88.8987049549206,399.840386432788,748.580650566761
"200","medhmm","dreadnest of day","4","var",374.14447581262,383.994797956508,62.3588238800129,291.713857832488,536.538736301837
"201","medhmm","worry","1","var",113.003678391806,116.972184921736,23.4773841811526,85.2331817412259,177.87547535077
"202","medhmm","worry","2","var",484.573226560596,494.056686855484,64.2231485591842,400.401979219045,661.519757513486
"203","medhmm","worry","3","var",539.932020971094,551.439587445975,68.382044276084,452.882987132809,708.370670440102
"204","medhmm","worry","4","var",335.781091585305,345.683819935811,54.0979550757858,271.882112354311,479.255986609615
"205","medhmm","inadequate","1","var",42.2303184205006,44.5672646762084,11.9282030882075,28.0988502481366,74.5810623847045
"206","medhmm","inadequate","2","var",427.275694191743,439.097403905784,71.3911741882173,329.452672921571,608.929334750431
"207","medhmm","inadequate","3","var",470.632039850567,479.214135219252,73.1615727094882,364.732166326763,657.328685899088
"208","medhmm","inadequate","4","var",350.355040221004,357.342529278028,58.0213261600035,266.278517788012,493.558066020128
"209","medhmm","tired","1","var",404.311364732508,420.20182871964,68.7036884162726,338.578123080621,599.464537631681
"210","medhmm","tired","2","var",688.606443389501,703.861876147603,88.5262107204232,574.925793678567,907.441069416161
"211","medhmm","tired","3","var",486.27437470995,495.446290322447,78.0681748097984,371.047297804172,674.413790247654
"212","medhmm","tired","4","var",380.08504776187,388.783867426578,49.0738559647409,316.695686388322,503.339010215599
"213","medhmm","content","1","var",155.191137514717,161.615415592611,27.7835779348118,125.847380843067,233.897413848769
"214","medhmm","content","2","var",384.522087128927,391.492584323356,51.2925206688387,306.746727880358,512.074023574097
"215","medhmm","content","3","var",286.494680062796,292.69895570661,45.2550367778622,221.925407765163,405.438936678527
"216","medhmm","content","4","var",234.746260791119,241.535570594801,36.8282609493102,191.312964828926,334.261734855019
"217","medhmm","agitated","1","var",38.8761185091439,42.568884917191,15.3626035709719,23.8382825850544,82.4731202273645
